         214727 function calls in 0.189 seconds

   Ordered by: cumulative time
   List reduced from 219 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.002    0.000    0.188    0.008 form.py:60(run)
      150    0.000    0.000    0.085    0.001 form.py:190(getStepSize)
      150    0.006    0.000    0.085    0.001 form.py:202(computeStepSize)
     1100    0.001    0.000    0.083    0.000 distribution.py:249(u_to_x)
     1075    0.003    0.000    0.082    0.000 transformation.py:67(u_to_x)
     1100    0.001    0.000    0.079    0.000 _distn_infrastructure.py:535(ppf)
     1100    0.020    0.000    0.078    0.000 _distn_infrastructure.py:2302(ppf)
     3525    0.010    0.000    0.049    0.000 _distn_infrastructure.py:612(argsreduce)
       25    0.000    0.000    0.045    0.002 analysis.py:72(init_run)
       25    0.000    0.000    0.043    0.002 correlation.py:170(setModifiedCorrelationMatrix)
       25    0.001    0.000    0.043    0.002 correlation.py:65(computeModifiedCorrelationMatrix)
       25    0.000    0.000    0.023    0.001 _optimize.py:575(fmin)
       25    0.004    0.000    0.023    0.001 _optimize.py:700(_minimize_neldermead)
      175    0.000    0.000    0.020    0.000 form.py:159(computeJacobian)
     4850    0.005    0.000    0.017    0.000 fromnumeric.py:86(_wrapreduction_any_all)
       25    0.001    0.000    0.016    0.001 integration.py:68(zi_and_xi)
      175    0.002    0.000    0.016    0.000 transformation.py:83(jacobian)
      450    0.001    0.000    0.016    0.000 _optimize.py:555(function_wrapper)
      175    0.000    0.000    0.015    0.000 form.py:153(computeTransformation)
      450    0.000    0.000    0.014    0.000 correlation.py:141(absoluteIntegralValue)
     3525    0.002    0.000    0.014    0.000 fromnumeric.py:2548(all)
     1325    0.003    0.000    0.014    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
      450    0.010    0.000    0.014    0.000 integration.py:17(rho_integral)
      350    0.001    0.000    0.013    0.000 distribution.py:284(jacobian)
      325    0.001    0.000    0.013    0.000 model.py:208(evaluate_lsf)
      175    0.001    0.000    0.010    0.000 form.py:167(computeLimitState)
      175    0.000    0.000    0.009    0.000 distribution.py:204(pdf)
      175    0.000    0.000    0.009    0.000 _distn_infrastructure.py:605(pdf)
      175    0.003    0.000    0.009    0.000 _distn_infrastructure.py:2051(pdf)
     6550    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4250    0.005    0.000    0.009    0.000 shape_base.py:19(atleast_1d)
      175    0.005    0.000    0.009    0.000 model.py:281(evaluate_ffd)
       25    0.007    0.000    0.008    0.000 quadrature.py:12(quadratureRule)
     1150    0.006    0.000    0.008    0.000 _stride_tricks_impl.py:373(_broadcast_to)
     3250    0.002    0.000    0.007    0.000 {method 'all' of 'numpy.generic' objects}


